store_id,dayOfWeek,start_time_local,end_time_local
d84a4552-3668-4075-ad1d-16840294f818,1,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,3,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,4,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,0,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,5,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,6,00:00:00,00:01:00
d84a4552-3668-4075-ad1d-16840294f818,2,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,4,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,0,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,5,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,1,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,2,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,6,00:00:00,00:01:00
bad8cf9f-5201-4da2-a1c8-87787537a0be,3,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,3,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,4,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,5,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,1,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,2,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,0,00:00:00,00:01:00
b0550b6a-bf9f-42fd-ade3-bb98acd74fe0,6,00:00:00,00:01:00
4839cffb-67d1-4d4a-ba32-361aca50b44a,1,00:00:00,00:01:00
4839cffb-67d1-4d4a-ba32-361aca50b44a,4,00:00:00,00:01:00
4839cffb-67d1-4d4a-ba32-361aca50b44a,2,00:00:00,00:01:00
